time,A,B,P12,P23
21.8,1383.025,1305.1,1421.6,1325.525
21.817,1383.025,1306.6,1422.825,1327.025
21.833,1383.025,1308.1,1422.825,1328.525
21.85,1383.025,1309.6,1423.9,1330.025
21.867,1383.025,1311.1,1425.4,1331.525
21.883,1383.025,1312.6,1426.9,1333.025
21.9,1383.025,1314.1,1428.4,1333.275
21.917,1383.625,1315.6,1429.9,1333.275
21.933,1385.125,1317.1,1431.4,1333.275
21.95,1386.625,1318.6,1432.775,1333.275
21.967,1388.125,1320.1,1432.775,1333.275
21.983,1389.625,1321.6,1432.775,1333.275
22.0,1391.125,1323.1,1432.775,1333.275
22.017,1392.625,1323.325,1432.775,1333.275
22.033,1392.975,1323.325,1432.775,1333.275
22.05,1393.3,1323.325,1432.775,1333.275
22.067,1394.8,1323.325,1432.775,1333.275
22.083,1396.3,1323.325,1432.775,1333.275
22.1,1397.8,1323.325,1432.775,1333.275
22.117,1399.3,1323.325,1432.775,1333.275
22.133,1400.8,1323.325,1432.775,1333.825
22.15,1402.3,1323.325,1432.775,1335.325
22.167,1402.925,1323.325,1432.775,1336.825
22.183,1402.925,1323.325,1432.775,1338.325
22.2,1402.925,1323.325,1432.775,1339.825
22.217,1402.925,1323.325,1432.775,1341.325
22.233,1402.925,1323.325,1432.775,1342.825
22.25,1402.925,1323.85,1432.85,1344.325
22.267,1402.925,1325.35,1434.35,1345.825
22.283,1402.925,1326.85,1435.85,1347.325
22.3,1402.925,1328.35,1437.35,1348.825
22.317,1402.925,1329.85,1438.85,1350.325
22.333,1402.925,1331.35,1440.35,1351.825
22.35,1402.925,1332.85,1441.85,1353.175
22.367,1404.0,1333.275,1442.725,1353.175
22.383,1405.5,1334.55,1442.725,1353.175
22.4,1407.0,1336.05,1442.725,1353.175
22.417,1408.5,1337.55,1442.725,1353.175
22.433,1410.0,1339.05,1442.725,1353.175
22.45,1411.5,1340.55,1442.725,1353.175
22.467,1413.0,1342.05,1442.725,1353.175
22.483,1414.5,1343.225,1442.725,1353.175
22.5,1416.0,1343.225,1442.725,1353.175
22.517,1417.5,1343.225,1442.725,1353.175
22.533,1419.0,1343.225,1442.725,1353.175
22.55,1420.5,1343.225,1442.725,1353.175
22.567,1422.0,1343.225,1442.725,1353.175
22.583,1422.825,1343.225,1442.8,1353.175
22.6,1422.825,1343.225,1444.3,1353.175
22.617,1422.825,1343.225,1445.8,1353.175
22.633,1422.825,1343.225,1447.3,1353.175
22.65,1422.825,1343.225,1448.8,1353.175
22.667,1422.825,1343.225,1450.3,1353.175
22.683,1422.825,1343.225,1451.8,1354.325
22.7,1422.825,1343.225,1452.675,1355.825
22.717,1422.825,1343.225,1452.675,1357.325
22.733,1422.825,1343.225,1452.675,1358.825
22.75,1422.825,1343.225,1452.675,1360.325
22.767,1422.825,1343.225,1453.95,1361.825
22.783,1423.3,1343.225,1455.45,1363.125
22.8,1424.8,1343.725,1456.95,1363.95
22.817,1426.3,1345.225,1458.45,1365.45
22.833,1427.8,1346.725,1459.95,1366.95
22.85,1429.3,1348.225,1461.45,1368.45
22.867,1430.8,1349.725,1462.625,1369.95
22.883,1432.3,1351.225,1462.625,1371.45
22.9,1432.775,1352.725,1462.625,1372.95
22.917,1432.775,1353.25,1462.625,1373.075
22.933,1432.775,1354.75,1462.625,1373.075
22.95,1432.775,1356.25,1462.625,1373.075
22.967,1432.775,1357.75,1462.625,1373.25
22.983,1432.775,1359.25,1462.625,1374.75
23.0,1432.775,1360.75,1462.625,1376.25
23.017,1432.775,1362.25,1462.625,1377.75
23.033,1432.775,1363.125,1462.625,1379.25
23.05,1432.775,1363.125,1462.625,1380.75
23.067,1432.775,1363.125,1462.625,1382.25
23.083,1432.775,1363.525,1463.8,1383.025
23.1,1432.775,1365.025,1465.3,1383.025
23.117,1432.775,1366.525,1466.8,1383.025
23.133,1433.45,1368.025,1468.3,1383.025
23.15,1434.95,1369.525,1469.8,1383.025
23.167,1436.45,1371.025,1471.3,1383.025
23.183,1437.95,1372.525,1472.575,1383.025
23.2,1439.45,1373.075,1472.575,1383.025
23.217,1440.95,1373.075,1472.575,1383.025
23.233,1442.45,1373.075,1472.575,1383.025
23.25,1443.95,1373.075,1472.575,1383.025
23.267,1445.45,1373.075,1472.575,1383.025
23.283,1446.95,1373.075,1472.575,1383.425
23.3,1448.45,1373.075,1472.575,1384.925
23.317,1449.95,1373.075,1472.575,1386.425
23.333,1451.45,1373.075,1472.575,1387.925
23.35,1452.675,1373.075,1472.575,1389.425
23.367,1452.675,1373.075,1472.575,1390.925
23.383,1452.675,1373.075,1472.575,1392.425
23.4,1452.675,1373.25,1472.575,1392.975
23.417,1452.675,1374.75,1473.125,1392.975
23.433,1452.675,1376.25,1474.625,1392.975
23.45,1452.675,1377.75,1476.125,1392.975
23.467,1452.675,1379.25,1477.625,1392.975
23.483,1452.675,1380.75,1479.125,1392.975
23.5,1452.675,1382.25,1480.625,1392.975
23.517,1452.675,1383.025,1482.125,1392.975
23.533,1452.675,1383.025,1483.625,1392.975
23.55,1453.425,1383.025,1485.125,1392.975
23.567,1454.925,1383.025,1486.625,1392.975
23.583,1456.425,1383.025,1488.125,1392.975
23.6,1457.925,1383.025,1489.625,1392.975
23.617,1459.425,1383.025,1491.125,1392.975
23.633,1460.925,1383.025,1492.475,1392.975
23.65,1462.425,1383.025,1492.475,1392.975
23.667,1463.925,1383.025,1492.475,1392.975
23.683,1465.425,1383.025,1492.475,1393.075
23.7,1466.925,1383.025,1492.475,1394.575
23.717,1468.425,1383.025,1492.475,1396.075
23.733,1469.925,1383.025,1492.475,1397.575
23.75,1471.425,1383.025,1492.75,1399.075
23.767,1472.575,1383.025,1494.25,1400.575
23.783,1472.575,1383.025,1495.75,1402.075
23.8,1472.575,1383.075,1497.25,1402.925
23.817,1472.575,1384.575,1498.75,1402.925
23.833,1472.575,1386.075,1500.25,1402.925
23.85,1472.575,1387.575,1501.75,1402.925
23.867,1472.575,1389.075,1503.25,1402.925
23.883,1472.575,1390.575,1504.75,1402.925
23.9,1472.575,1392.075,1506.25,1402.925
23.917,1472.575,1392.975,1507.75,1402.925
23.933,1473.975,1392.975,1509.25,1402.925
23.95,1475.475,1392.975,1510.75,1402.925
23.967,1476.975,1392.975,1512.25,1403.8
23.983,1478.475,1392.975,1512.375,1405.3
24.0,1479.975,1392.975,1512.375,1406.8
24.017,1481.475,1392.975,1512.375,1408.3
24.033,1482.775,1392.975,1512.375,1409.8
24.05,1484.275,1392.975,1512.375,1411.3
24.067,1485.775,1392.975,1512.375,1412.8
24.083,1487.275,1393.775,1512.375,1412.875
24.1,1488.775,1395.275,1512.375,1412.875
24.117,1490.275,1396.775,1512.375,1412.875
24.133,1491.775,1398.275,1512.375,1412.875
24.15,1492.475,1399.775,1512.375,1412.875
24.167,1492.475,1401.275,1512.875,1412.875
24.183,1492.475,1402.775,1514.375,1412.875
24.2,1492.475,1402.925,1515.875,1412.875
24.217,1492.475,1402.925,1517.375,1412.875
24.233,1492.475,1402.925,1518.875,1412.875
24.25,1492.475,1402.925,1520.375,1412.875
24.267,1492.475,1402.925,1521.875,1412.875
24.283,1492.475,1402.925,1523.375,1412.875
24.3,1492.475,1402.925,1524.875,1412.875
24.317,1492.475,1402.925,1526.375,1412.875
24.333,1492.575,1402.925,1527.875,1412.875
24.35,1494.075,1402.925,1529.375,1412.875
24.367,1495.575,1402.925,1530.875,1412.875
24.383,1497.075,1402.925,1532.275,1413.3
24.4,1498.575,1402.925,1532.275,1414.8
24.417,1500.075,1402.925,1532.275,1416.3
24.433,1501.575,1402.925,1532.6,1417.8
24.45,1503.075,1402.925,1534.1,1419.3
24.467,1504.575,1402.925,1535.6,1420.8
24.483,1506.075,1402.925,1537.1,1422.3
24.5,1507.575,1402.925,1538.6,1422.825
24.517,1509.075,1403.875,1540.1,1422.825
24.533,1510.575,1405.375,1541.6,1422.825
24.55,1512.075,1406.875,1542.225,1422.825
24.567,1512.375,1408.375,1542.225,1422.825
24.583,1512.375,1409.875,1542.225,1422.825
24.6,1512.375,1411.375,1542.225,1422.825
24.617,1512.375,1412.875,1542.775,1422.825
24.633,1512.375,1412.875,1544.275,1422.825
24.65,1512.375,1412.875,1545.775,1423.525
24.667,1512.375,1412.875,1547.275,1425.025
24.683,1512.375,1412.875,1548.775,1426.525
24.7,1512.375,1412.875,1550.275,1428.025
24.717,1512.375,1412.875,1551.775,1429.525
24.733,1512.375,1412.875,1552.175,1431.025
24.75,1512.375,1412.875,1552.175,1432.525
24.767,1513.825,1413.975,1552.175,1432.775
24.783,1515.325,1415.475,1552.175,1432.775
24.8,1516.825,1416.975,1552.175,1432.775
24.817,1518.325,1418.475,1552.175,1432.775
24.833,1519.825,1419.975,1552.175,1432.775
24.85,1521.325,1421.475,1552.175,1432.775
24.867,1522.825,1422.825,1552.175,1432.775
24.883,1524.325,1422.825,1553.2,1432.775
24.9,1525.825,1422.825,1554.7,1432.775
24.917,1527.325,1422.825,1556.2,1432.775
24.933,1528.825,1422.825,1557.7,1432.775
24.95,1530.325,1422.825,1559.2,1432.775
24.967,1531.825,1422.825,1560.7,1432.775
24.983,1532.275,1422.825,1562.125,1432.775
25.0,1532.275,1422.825,1562.125,1432.775
25.017,1532.275,1422.825,1562.125,1432.775
25.033,1532.275,1422.825,1562.125,1432.775
25.05,1532.275,1422.825,1563.2,1432.775
25.067,1532.275,1422.825,1564.7,1432.775
25.083,1532.275,1422.825,1566.2,1434.25
25.1,1533.25,1422.825,1567.7,1435.75
25.117,1534.75,1422.825,1569.2,1437.25
25.133,1536.25,1422.825,1570.7,1438.75
25.15,1537.75,1422.825,1572.2,1440.25
25.167,1539.25,1422.825,1573.7,1441.75
25.183,1540.75,1422.825,1575.2,1442.725
25.2,1542.225,1423.35,1576.7,1442.725
25.217,1542.225,1424.85,1578.2,1442.725
25.233,1542.225,1426.35,1579.7,1442.725
25.25,1542.55,1427.85,1581.2,1442.725
25.267,1544.05,1429.35,1582.025,1442.725
25.283,1545.55,1430.85,1582.025,1442.725
25.3,1547.05,1432.35,1582.025,1443.375
25.317,1548.55,1432.775,1582.025,1444.875
25.333,1550.05,1432.775,1582.025,1446.375
25.35,1551.55,1432.775,1582.025,1447.875
25.367,1552.175,1432.775,1582.025,1449.375
25.383,1552.175,1432.775,1582.075,1450.875
25.4,1552.175,1432.775,1583.575,1452.375
25.417,1552.175,1432.775,1585.075,1452.675
25.433,1552.175,1433.5,1586.575,1452.675
25.45,1552.175,1435.0,1588.075,1452.675
25.467,1552.175,1436.5,1589.575,1452.675
25.483,1552.175,1438.0,1591.075,1452.675
25.5,1552.175,1439.5,1591.975,1452.675
25.517,1552.175,1441.0,1591.975,1452.675
25.533,1552.175,1442.5,1591.975,1452.675
25.55,1553.05,1442.725,1591.975,1452.675
25.567,1554.55,1442.725,1593.45,1452.675
25.583,1556.05,1442.725,1594.95,1452.675
25.6,1557.55,1442.725,1596.45,1452.675
25.617,1559.05,1442.725,1597.95,1453.9
25.633,1560.55,1442.725,1599.45,1455.4
25.65,1562.05,1442.725,1600.95,1456.9
25.667,1562.125,1442.725,1601.925,1458.4
25.683,1562.125,1442.725,1601.925,1459.9
25.7,1562.125,1442.725,1601.925,1461.4
25.717,1562.125,1442.725,1601.925,1462.625
25.733,1562.125,1444.025,1601.925,1462.625
25.75,1562.125,1445.525,1601.925,1462.625
25.767,1562.125,1447.025,1601.925,1462.975
25.783,1562.125,1448.525,1601.925,1464.475
25.8,1562.125,1450.025,1602.65,1465.975
25.817,1562.125,1451.525,1604.15,1467.475
25.833,1562.125,1452.675,1605.65,1468.975
25.85,1562.125,1452.675,1607.15,1470.475
25.867,1562.9,1452.675,1608.65,1471.975
25.883,1564.4,1452.675,1610.15,1472.575
25.9,1565.9,1454.05,1611.65,1472.575
25.917,1567.4,1455.55,1611.875,1472.575
25.933,1568.9,1457.05,1611.875,1472.575
25.95,1570.4,1458.55,1611.875,1472.575
25.967,1571.9,1460.05,1611.875,1472.575
25.983,1572.075,1461.55,1611.875,1472.575
26.0,1572.525,1462.625,1611.875,1472.575
26.017,1574.025,1462.625,1611.875,1472.575
26.033,1575.525,1462.625,1611.875,1472.575
26.05,1577.025,1462.625,1611.875,1473.125
26.067,1578.525,1462.625,1611.875,1474.625
26.083,1580.025,1462.625,1611.875,1476.125
26.1,1581.525,1462.625,1611.875,1477.625
26.117,1582.025,1462.625,1611.875,1479.125
26.133,1582.025,1462.625,1611.875,1480.625
26.15,1582.025,1462.625,1611.875,1482.125
26.167,1582.025,1462.625,1612.425,1482.525
26.183,1582.025,1464.025,1613.925,1482.525
26.2,1582.025,1465.525,1615.425,1482.525
26.217,1582.025,1467.025,1616.925,1482.525
26.233,1582.025,1468.525,1618.425,1482.525
26.25,1582.025,1470.025,1619.925,1482.525
26.267,1582.025,1471.525,1621.425,1482.525
26.283,1582.025,1472.575,1622.925,1482.525
26.3,1582.125,1472.575,1624.425,1482.525
26.317,1583.625,1472.575,1625.925,1482.525
26.333,1585.125,1472.575,1627.425,1482.525
26.35,1586.625,1472.575,1628.925,1482.525
26.367,1588.125,1472.575,1630.425,1482.525
26.383,1589.625,1472.575,1631.775,1482.525
26.4,1591.125,1472.575,1631.775,1482.525
26.417,1592.625,1472.575,1631.775,1482.525
26.433,1594.125,1472.575,1631.775,1482.525
26.45,1595.625,1472.575,1631.775,1482.525
26.467,1597.125,1472.575,1631.775,1482.525
26.483,1598.625,1472.575,1631.775,1483.325
26.5,1600.125,1472.575,1631.775,1484.825
26.517,1601.625,1472.575,1631.775,1486.325
26.533,1601.925,1472.575,1631.775,1487.825
26.55,1601.925,1472.575,1633.225,1489.325
26.567,1601.925,1472.575,1634.725,1490.825
26.583,1601.925,1472.575,1636.225,1492.325
26.6,1601.925,1472.875,1637.725,1492.475
26.617,1601.925,1474.375,1639.225,1492.475
26.633,1601.925,1475.875,1640.725,1492.475
26.65,1601.925,1477.375,1642.225,1492.475
26.667,1601.925,1478.875,1643.725,1492.475
26.683,1602.1,1480.375,1645.225,1492.475
26.7,1603.6,1481.875,1646.725,1492.475
26.717,1605.1,1482.525,1648.225,1492.475
26.733,1606.6,1482.525,1649.725,1492.475
26.75,1608.1,1482.525,1651.225,1492.475
26.767,1609.6,1482.525,1651.675,1492.475
26.783,1611.1,1482.525,1651.675,1492.475
26.8,1612.6,1482.525,1651.675,1493.575
26.817,1614.1,1482.525,1651.675,1495.075
26.833,1615.6,1482.525,1651.675,1496.575
26.85,1617.1,1482.525,1651.675,1498.075
26.867,1618.6,1482.525,1651.675,1499.575
26.883,1620.1,1482.525,1651.675,1501.075
26.9,1621.6,1482.525,1651.675,1502.425
26.917,1621.825,1482.525,1651.675,1502.425
26.933,1621.825,1483.3,1651.675,1502.425
26.95,1621.825,1484.8,1651.675,1502.425
26.967,1621.825,1486.3,1651.9,1502.425
26.983,1621.825,1487.8,1653.4,1502.425
27.0,1621.825,1489.3,1654.9,1502.425
27.017,1621.825,1490.8,1656.4,1503.775
27.033,1621.825,1492.3,1657.9,1505.275
27.05,1622.325,1492.475,1659.4,1506.775
27.067,1623.825,1492.475,1660.9,1508.275
27.083,1625.325,1492.475,1661.625,1509.775
27.1,1626.825,1492.475,1661.625,1511.275
27.117,1628.325,1492.475,1661.625,1512.375
27.133,1629.825,1493.125,1661.625,1512.375
27.15,1631.325,1494.625,1661.625,1512.375
27.167,1631.775,1496.125,1661.625,1512.375
27.183,1633.275,1497.625,1661.625,1512.375
27.2,1634.775,1499.125,1661.625,1512.375
27.217,1636.275,1500.625,1661.625,1512.375
27.233,1637.775,1502.125,1661.625,1512.375
27.25,1639.275,1502.425,1661.625,1512.375
27.267,1640.775,1502.425,1661.625,1512.375
27.283,1641.725,1502.425,1662.025,1512.375
27.3,1641.725,1502.425,1663.525,1512.375
27.317,1641.725,1502.425,1665.025,1512.375
27.333,1641.725,1502.425,1666.525,1512.375
27.35,1641.725,1502.425,1668.025,1513.7
27.367,1641.725,1502.425,1669.525,1515.2
27.383,1641.725,1502.425,1671.025,1516.7
27.4,1641.725,1502.425,1671.575,1518.2
27.417,1641.725,1502.425,1671.575,1519.7
27.433,1641.725,1502.425,1671.575,1521.2
27.45,1641.725,1502.425,1671.575,1522.325
27.467,1641.725,1502.5,1672.9,1522.325
27.483,1641.725,1504.0,1674.4,1522.325
27.5,1641.95,1505.5,1675.9,1522.325
27.517,1643.45,1507.0,1677.4,1522.325
27.533,1644.95,1508.5,1678.9,1522.325
27.55,1646.45,1510.0,1680.4,1522.325
27.567,1647.95,1511.5,1681.9,1522.325
27.583,1649.45,1512.375,1683.4,1522.325
27.6,1650.95,1512.375,1684.9,1522.325
27.617,1651.675,1512.375,1686.4,1522.325
27.633,1651.675,1512.375,1687.9,1522.325
27.65,1651.675,1512.375,1689.4,1522.325
27.667,1651.675,1512.375,1690.9,1522.85
27.683,1651.675,1512.375,1691.475,1524.35
27.7,1651.675,1512.375,1691.475,1525.85
27.717,1651.675,1512.375,1691.475,1527.35
27.733,1651.675,1512.375,1691.475,1528.85
27.75,1651.675,1512.375,1691.475,1530.35
27.767,1651.675,1512.375,1691.475,1531.85
27.783,1651.675,1512.475,1691.475,1533.35
27.8,1651.675,1513.975,1691.475,1534.85
27.817,1651.675,1515.475,1691.6,1536.35
27.833,1651.975,1516.975,1693.1,1537.85
27.85,1653.475,1518.475,1694.6,1539.35
27.867,1654.975,1519.975,1696.1,1540.85
27.883,1656.475,1521.475,1697.6,1542.225
27.9,1657.975,1522.7,1699.1,1542.225
27.917,1659.475,1524.2,1700.6,1542.225
27.933,1660.975,1525.7,1701.425,1542.225
27.95,1661.625,1527.2,1701.425,1542.225
27.967,1661.625,1528.7,1701.425,1542.225
27.983,1661.625,1530.2,1701.425,1542.225
28.0,1661.625,1531.7,1701.425,1542.225
28.017,1661.625,1532.275,1701.425,1542.225
28.033,1661.625,1532.275,1701.425,1542.475
28.05,1662.2,1532.275,1701.425,1543.975
28.067,1663.7,1532.275,1701.425,1545.475
28.083,1665.2,1532.275,1701.425,1546.975
28.1,1666.7,1532.275,1701.425,1548.475
28.117,1668.2,1532.275,1701.425,1549.975
28.133,1669.7,1532.275,1701.425,1551.475
28.15,1671.2,1532.275,1702.775,1552.175
28.167,1671.575,1533.3,1704.275,1552.175
28.183,1671.575,1534.8,1705.775,1552.175
28.2,1671.575,1536.3,1707.275,1552.175
28.217,1672.55,1537.8,1708.775,1552.175
28.233,1674.05,1539.3,1710.275,1552.175
28.25,1675.55,1540.8,1711.375,1552.175
28.267,1677.05,1542.225,1711.375,1552.175
28.283,1678.55,1542.225,1711.375,1552.175
28.3,1680.05,1542.225,1711.375,1552.175
28.317,1681.525,1542.225,1711.375,1552.175
28.333,1681.525,1542.225,1711.5,1552.175
28.35,1681.875,1542.225,1713.0,1552.175
28.367,1683.375,1542.225,1714.5,1552.175
28.383,1684.875,1542.225,1716.0,1552.175
28.4,1686.375,1542.225,1717.5,1552.175
28.417,1687.875,1542.225,1719.0,1552.175
28.433,1689.375,1542.225,1720.5,1552.175
28.45,1690.875,1542.225,1721.325,1552.175
28.467,1691.475,1542.225,1721.325,1552.175
28.483,1691.475,1542.225,1721.325,1552.175
28.5,1692.6,1542.225,1722.025,1552.175
28.517,1694.1,1542.225,1723.525,1552.175
28.533,1695.6,1542.225,1725.025,1552.175
28.55,1697.1,1542.225,1726.525,1552.6
28.567,1698.6,1542.225,1728.025,1554.1
28.583,1700.1,1542.225,1729.525,1555.6
28.6,1701.425,1542.225,1731.025,1557.1
28.617,1701.425,1542.225,1731.275,1558.6
28.633,1701.425,1542.225,1731.75,1560.1
28.65,1701.425,1542.225,1733.25,1561.6
28.667,1701.425,1542.225,1734.75,1562.125
28.683,1701.425,1543.2,1736.25,1562.125
28.7,1701.425,1544.7,1737.75,1562.125
28.717,1701.425,1546.2,1739.25,1563.525
28.733,1701.425,1547.7,1740.75,1565.025
28.75,1701.425,1549.2,1741.225,1566.525
28.767,1701.425,1550.7,1741.225,1568.025
28.783,1701.425,1552.175,1741.225,1569.525
28.8,1701.425,1552.175,1741.225,1571.025
28.817,1701.425,1552.175,1742.5,1572.075
28.833,1701.425,1552.95,1744.0,1572.075
28.85,1702.7,1554.45,1745.5,1572.075
28.867,1704.2,1555.95,1747.0,1572.075
28.883,1705.7,1557.45,1748.5,1572.075
28.9,1707.2,1558.95,1750.0,1572.075
28.917,1708.7,1560.45,1751.175,1572.075
28.933,1710.2,1561.95,1751.175,1572.075
28.95,1711.375,1562.125,1751.175,1572.075
28.967,1711.375,1562.125,1751.175,1572.075
28.983,1711.375,1562.125,1751.175,1572.075
29.0,1711.375,1562.125,1751.175,1572.075
29.017,1711.375,1562.125,1751.175,1572.075
29.033,1711.375,1562.125,1751.175,1573.0
29.05,1711.375,1562.125,1751.675,1574.5
29.067,1711.375,1562.125,1753.175,1576.0
29.083,1711.375,1562.125,1754.675,1577.5
29.1,1711.375,1562.125,1756.175,1579.0
29.117,1711.375,1562.125,1757.675,1580.5
29.133,1711.375,1562.125,1759.175,1582.0
29.15,1712.1,1562.225,1760.675,1582.025
29.167,1713.6,1563.725,1761.125,1583.0
29.183,1715.1,1565.225,1761.125,1584.5
29.2,1716.6,1566.725,1761.125,1586.0
29.217,1718.1,1568.225,1761.125,1587.5
29.233,1719.6,1569.725,1761.125,1589.0
29.25,1721.1,1571.225,1761.125,1590.5
29.267,1722.6,1572.075,1761.125,1591.975
29.283,1724.1,1572.375,1761.125,1591.975
29.3,1725.6,1573.875,1761.125,1591.975
29.317,1727.1,1575.375,1761.125,1591.975
29.333,1728.6,1576.875,1761.125,1591.975
29.35,1730.1,1578.375,1761.125,1591.975
29.367,1731.275,1579.875,1761.125,1591.975
29.383,1731.275,1581.375,1761.125,1591.975
29.4,1731.275,1582.025,1761.125,1591.975
29.417,1731.275,1582.025,1761.125,1591.975
29.433,1731.275,1582.025,1762.3,1591.975
29.45,1731.275,1582.025,1763.8,1591.975
29.467,1731.275,1582.025,1765.3,1591.975
29.483,1731.275,1582.025,1766.8,1592.55
29.5,1731.275,1582.025,1768.3,1594.05
29.517,1731.275,1582.025,1769.8,1595.55
29.533,1731.275,1582.025,1771.075,1597.05
29.55,1731.275,1582.025,1771.075,1598.55
29.567,1731.275,1582.025,1771.075,1600.05
29.583,1732.45,1582.025,1771.075,1601.55
29.6,1733.95,1582.025,1771.075,1601.925
29.617,1735.45,1582.275,1771.075,1601.925
29.633,1736.95,1583.775,1771.075,1601.925
29.65,1738.45,1585.275,1771.075,1601.925
29.667,1739.95,1586.775,1772.0,1601.925
29.683,1741.45,1588.275,1773.5,1601.925
29.7,1742.95,1589.775,1775.0,1601.925
29.717,1744.45,1591.275,1776.5,1601.925
29.733,1745.95,1591.975,1778.0,1601.925
29.75,1747.45,1591.975,1779.5,1601.925
29.767,1748.95,1591.975,1781.0,1601.925
29.783,1750.45,1591.975,1781.025,1601.925
29.8,1751.175,1591.975,1781.025,1601.925
29.817,1751.175,1591.975,1781.025,1601.925
29.833,1751.175,1591.975,1781.025,1601.925
29.85,1751.175,1591.975,1781.025,1601.925
29.867,1751.175,1591.975,1781.025,1601.925
29.883,1751.175,1591.975,1781.025,1603.4
29.9,1751.175,1591.975,1782.525,1604.9
29.917,1751.175,1591.975,1784.025,1606.4
29.933,1751.175,1591.975,1785.525,1607.9
29.95,1751.3,1591.975,1787.025,1609.4
29.967,1752.8,1591.975,1788.525,1610.9
29.983,1754.3,1591.975,1790.025,1612.4
30.0,1755.8,1593.175,1790.975,1613.9
30.017,1757.3,1594.675,1790.975,1615.4
30.033,1758.8,1596.175,1790.975,1616.9
30.05,1760.3,1597.675,1790.975,1618.4
30.067,1761.125,1599.175,1790.975,1619.9
30.083,1761.125,1600.675,1790.975,1621.4
30.1,1761.125,1601.925,1790.975,1621.825
30.117,1762.275,1601.975,1790.975,1621.825
30.133,1763.775,1603.475,1790.975,1621.825
30.15,1765.275,1604.975,1790.975,1621.825
30.167,1766.775,1606.475,1790.975,1621.825
30.183,1768.275,1607.975,1790.975,1621.825
30.2,1769.775,1609.475,1790.975,1621.825
30.217,1771.075,1610.975,1791.2,1621.825
30.233,1771.075,1611.875,1792.7,1621.825
30.25,1771.075,1611.875,1794.2,1621.825
30.267,1771.075,1611.875,1795.7,1621.825
30.283,1771.075,1611.875,1797.2,1621.825
30.3,1771.075,1611.875,1798.7,1621.825
30.317,1771.075,1611.875,1800.2,1622.925
30.333,1771.075,1611.875,1801.7,1624.425
30.35,1771.075,1611.875,1803.2,1625.925
30.367,1771.075,1611.875,1804.7,1627.425
30.383,1771.075,1611.875,1806.2,1628.925
30.4,1771.075,1611.875,1807.7,1630.425
30.417,1771.65,1611.875,1809.2,1631.775
30.433,1773.15,1611.875,1810.7,1631.775
30.45,1774.65,1613.325,1810.875,1631.775
30.467,1776.15,1614.825,1810.875,1631.775
30.483,1777.65,1616.325,1810.875,1632.775
30.5,1779.15,1617.825,1811.025,1634.275
30.517,1780.65,1619.325,1812.525,1635.775
30.533,1781.025,1620.825,1814.025,1637.275
30.55,1781.025,1621.825,1815.525,1638.775
30.567,1781.025,1621.825,1817.025,1640.275
30.583,1781.025,1621.825,1818.525,1641.725
30.6,1781.025,1621.825,1820.025,1641.725
30.617,1781.025,1622.475,1820.825,1641.725
30.633,1781.025,1623.975,1820.825,1641.725
30.65,1781.025,1625.475,1820.825,1641.725
30.667,1781.025,1626.975,1820.825,1641.725
30.683,1781.025,1628.475,1820.825,1641.725
30.7,1781.025,1629.975,1820.825,1641.725
30.717,1781.025,1631.475,1820.825,1641.725
30.733,1781.975,1631.775,1820.825,1641.95
30.75,1783.475,1631.775,1820.825,1643.45
30.767,1784.975,1631.775,1820.825,1644.95
30.783,1786.475,1631.775,1820.825,1646.45
30.8,1787.975,1631.775,1822.15,1647.95
30.817,1789.475,1631.775,1823.65,1649.45
30.833,1790.975,1631.775,1825.15,1650.95
30.85,1790.975,1631.775,1826.65,1651.675
30.867,1790.975,1632.4,1828.15,1651.675
30.883,1790.975,1633.9,1829.65,1651.675
30.9,1790.975,1635.4,1830.775,1651.675
30.917,1790.975,1636.9,1830.775,1651.675
30.933,1791.2,1638.4,1830.775,1651.675
30.95,1792.7,1639.9,1830.775,1651.675
30.967,1794.2,1641.4,1830.775,1651.675
30.983,1795.7,1641.725,1830.775,1651.675
31.0,1797.2,1641.725,1830.775,1651.675
31.017,1798.7,1641.725,1831.225,1651.675
31.033,1800.2,1641.725,1832.725,1651.675
31.05,1801.7,1641.725,1834.225,1651.675
31.067,1803.2,1641.725,1835.725,1651.675
31.083,1804.7,1641.725,1837.225,1651.675
31.1,1806.2,1641.725,1838.725,1651.675
31.117,1807.7,1641.725,1840.225,1651.675
31.133,1809.2,1641.725,1840.725,1651.675
31.15,1810.7,1641.725,1840.725,1651.675
31.167,1810.875,1641.725,1840.725,1651.675
31.183,1810.875,1641.725,1840.725,1651.675
31.2,1810.875,1641.725,1840.725,1651.675
31.217,1810.875,1641.725,1842.1,1651.675
31.233,1810.875,1641.725,1843.6,1652.925
31.25,1812.225,1641.725,1845.1,1654.425
31.267,1813.725,1641.725,1846.6,1655.925
31.283,1815.225,1641.725,1848.1,1657.425
31.3,1816.725,1641.725,1849.6,1658.925
31.317,1818.225,1641.725,1850.675,1660.425
31.333,1819.725,1641.725,1850.675,1661.625
31.35,1821.225,1641.725,1850.675,1661.625
31.367,1822.725,1643.175,1850.675,1661.625
31.383,1824.225,1644.675,1850.675,1661.625
31.4,1825.725,1646.175,1850.675,1661.625
31.417,1827.225,1647.675,1850.675,1661.625
31.433,1828.725,1649.175,1850.675,1661.625
31.45,1830.225,1650.675,1850.675,1661.625
31.467,1830.775,1651.675,1850.675,1661.625
31.483,1830.775,1651.675,1850.675,1661.625
