time,A,B,P12,P23
4.667,303.725,282.525,354.65,307.15
4.683,305.225,284.025,356.15,308.425
4.7,306.725,285.525,357.65,308.425
4.717,308.225,287.025,359.15,308.425
4.733,309.725,288.525,360.65,308.425
4.75,311.225,290.025,362.15,308.425
4.767,312.725,291.525,363.65,308.475
4.783,314.225,293.025,365.15,309.975
4.8,315.725,294.525,366.65,311.475
4.817,317.225,296.025,368.125,312.975
4.833,318.725,297.525,368.125,314.475
4.85,320.225,298.475,368.125,315.975
4.867,321.725,298.8,368.125,317.475
4.883,323.225,300.3,369.35,318.375
4.9,324.725,301.8,370.85,319.0
4.917,326.225,303.3,372.35,320.5
4.933,327.725,304.8,373.85,322.0
4.95,328.325,306.3,375.35,323.5
4.967,328.325,307.8,376.85,325.0
4.983,328.325,308.425,378.35,326.5
5.0,328.325,309.7,379.85,328.0
5.017,328.325,311.2,381.35,329.5
5.033,328.325,312.7,382.85,331.0
5.05,328.325,314.2,384.35,332.5
5.067,328.325,315.7,385.85,334.0
5.083,329.625,317.2,387.35,335.5
5.1,331.125,318.375,388.85,337.0
5.117,332.625,318.575,390.35,338.5
5.133,334.125,320.075,391.85,340.0
5.15,335.625,321.575,393.35,341.5
5.167,337.125,323.075,394.85,343.0
5.183,338.625,324.575,396.35,344.5
5.2,340.125,326.075,397.85,346.0
5.217,341.625,327.575,399.35,347.5
5.233,343.125,329.075,400.85,348.225
5.25,344.625,330.575,402.35,348.225
5.267,346.125,332.075,403.85,348.225
5.283,347.625,333.575,405.35,348.225
5.3,349.125,335.075,406.85,348.225
5.317,350.625,336.575,407.925,348.225
5.333,352.125,338.075,407.925,348.225
5.35,353.625,338.275,409.275,348.225
5.367,355.125,338.275,410.775,348.375
5.383,356.625,338.275,412.275,349.875
5.4,358.125,338.275,413.775,351.375
5.417,359.625,338.275,415.275,352.875
5.433,361.125,338.275,416.775,354.375
5.45,362.625,338.275,417.875,355.875
5.467,364.125,339.675,417.875,357.375
5.483,365.625,341.175,418.45,358.875
5.5,367.125,342.675,419.95,360.375
5.517,368.125,344.175,421.45,361.875
5.533,368.125,345.675,422.95,363.375
5.55,368.125,347.175,424.45,364.875
5.567,368.125,348.225,425.95,366.375
5.583,368.125,348.925,427.45,367.875
5.6,368.475,350.425,428.95,369.375
5.617,369.975,351.925,430.45,370.875
5.633,371.475,353.425,431.95,372.375
5.65,372.975,354.925,433.45,373.875
5.667,374.475,356.425,434.95,375.375
5.683,375.975,357.925,436.45,376.875
5.7,377.475,358.175,437.95,378.075
5.717,378.975,358.175,439.45,378.075
5.733,380.475,358.7,440.95,378.45
5.75,381.975,360.2,442.45,379.95
5.767,383.475,361.7,443.95,381.45
5.783,384.975,363.2,445.45,382.95
5.8,386.475,364.7,446.95,384.45
5.817,387.975,366.2,447.725,385.95
5.833,389.475,367.7,447.725,387.45
5.85,390.975,369.2,447.725,388.95
5.867,392.475,370.7,447.725,390.45
5.883,393.975,372.2,447.725,391.95
5.9,395.475,373.7,447.725,393.45
5.917,396.975,375.2,447.725,394.95
5.933,397.975,376.7,448.8,396.45
5.95,397.975,378.2,450.3,397.95
5.967,397.975,379.7,451.8,399.45
5.983,397.975,381.2,453.3,400.95
6.0,397.975,382.7,454.8,402.45
6.017,397.975,384.2,456.3,403.95
6.033,397.975,385.7,457.8,405.45
6.05,397.975,387.2,459.3,406.95
6.067,399.4,388.525,460.8,407.925
6.083,400.9,390.025,462.3,408.9
6.1,402.4,391.525,463.8,410.4
6.117,403.9,393.025,465.3,411.9
6.133,405.4,394.525,466.8,413.4
6.15,406.9,396.025,468.3,414.9
6.167,408.4,397.525,469.8,416.4
6.183,409.9,397.975,471.3,417.9
6.2,411.4,397.975,472.8,419.4
6.217,412.9,397.975,474.3,420.9
6.233,414.4,397.975,475.8,422.4
6.25,415.9,398.6,477.3,423.9
6.267,417.4,400.1,477.575,425.4
6.283,418.9,401.6,478.35,426.9
6.3,420.4,403.1,479.85,428.4
6.317,421.9,404.6,481.35,429.9
6.333,423.4,406.1,482.85,431.4
6.35,424.9,407.6,484.35,432.9
6.367,426.4,409.1,485.85,434.4
6.383,427.825,410.6,487.35,435.9
6.4,427.825,412.1,488.85,437.4
6.417,427.825,413.6,490.35,438.9
6.433,427.825,415.1,491.85,440.4
6.45,427.825,416.6,493.35,441.9
6.467,427.825,418.1,494.85,443.4
6.483,428.2,419.6,496.35,444.9
6.5,429.7,421.1,497.85,446.4
6.517,431.2,422.6,499.35,447.725
6.533,432.7,424.1,500.85,447.725
6.55,434.2,425.6,502.35,447.725
6.567,435.7,427.1,503.85,447.725
6.583,437.2,428.6,505.35,448.575
6.6,438.7,430.1,506.85,450.075
6.617,440.2,431.6,507.425,451.575
6.633,441.7,433.1,507.425,453.075
6.65,443.2,434.6,507.425,454.575
6.667,444.7,436.1,507.425,456.075
6.683,446.2,437.6,507.425,457.575
6.7,447.7,439.1,507.425,457.675
6.717,449.2,440.6,507.425,457.675
6.733,450.7,442.1,508.675,457.675
6.75,452.2,443.6,510.175,457.675
6.767,453.7,445.1,511.675,457.675
6.783,455.2,446.6,513.175,457.675
6.8,456.7,447.725,514.675,457.725
6.817,457.675,447.725,516.175,459.225
6.833,458.225,447.725,517.675,460.725
6.85,459.725,447.725,519.175,462.225
6.867,461.225,447.725,520.675,463.725
6.883,462.725,447.725,522.175,465.225
6.9,464.225,448.425,523.675,466.725
6.917,465.725,449.925,525.175,468.225
6.933,467.225,451.425,526.675,469.725
6.95,468.725,452.925,528.175,471.225
6.967,470.225,454.425,529.675,472.725
6.983,471.725,455.925,531.175,474.225
7.0,473.225,457.425,532.675,475.725
7.017,474.725,458.625,534.175,477.225
7.033,476.225,460.125,535.675,478.725
7.05,477.575,461.625,537.175,480.225
7.067,477.575,463.125,538.675,481.725
7.083,477.575,464.625,540.175,483.225
7.1,477.575,466.125,541.675,484.725
7.117,477.575,467.625,543.175,486.225
7.133,477.575,468.55,544.675,487.525
7.15,477.65,470.05,546.175,488.95
7.167,479.15,471.55,547.225,490.45
7.183,480.65,473.05,547.225,491.95
7.2,482.15,474.55,547.225,493.45
7.217,483.65,476.05,547.325,494.95
7.233,485.15,477.55,548.825,496.45
7.25,486.65,477.575,550.325,497.475
7.267,488.15,477.575,551.825,498.475
7.283,489.65,477.575,553.325,499.975
7.3,491.15,477.575,554.825,501.475
7.317,492.65,477.575,556.325,502.975
7.333,494.15,477.575,557.825,504.475
7.35,495.65,478.725,559.325,505.975
7.367,497.15,480.225,560.825,507.425
